Date,Close,Open,High,Low,Volume,Change,Symbol
2019-01-02,47.03,45.25,47.51,45.14,7250000.0,0.009899999999999999,ATVI
2019-01-03,45.36,46.44,46.65,45.0,8270000.0,-0.0355,ATVI
2019-01-04,47.17,46.0,47.55,45.13,9080000.0,0.039900000000000005,ATVI
2019-01-07,48.5,47.24,49.08,47.09,9110000.0,0.0282,ATVI
2019-01-08,49.97,49.07,51.1,49.0,12430000.0,0.030299999999999997,ATVI
2019-01-09,50.83,50.37,51.41,49.91,7770000.0,0.0172,ATVI
2019-01-10,51.35,50.5,51.49,50.09,6420000.0,0.0102,ATVI
2019-01-11,46.54,46.38,46.84,44.47,35420000.0,-0.09369999999999999,ATVI
2019-01-14,47.29,46.07,47.68,45.82,10180000.0,0.0161,ATVI
2019-01-15,46.84,47.33,47.89,46.62,8189999.999999999,-0.0095,ATVI
2019-01-16,47.13,46.76,47.38,45.86,9300000.0,0.0062,ATVI
2019-01-17,47.38,46.95,47.63,46.41,7830000.0,0.0053,ATVI
2019-01-18,48.65,47.89,49.32,47.84,10560000.0,0.0268,ATVI
2019-01-22,47.06,48.17,48.17,46.82,8420000.0,-0.0327,ATVI
2019-01-23,46.02,47.32,47.44,45.63,8950000.0,-0.022099999999999998,ATVI
2019-01-24,47.27,45.94,47.4,45.89,6010000.0,0.027200000000000002,ATVI
2019-01-25,47.8,47.86,48.39,47.09,6170000.0,0.011200000000000002,ATVI
2019-01-28,46.74,47.0,47.22,45.96,8810000.0,-0.0222,ATVI
2019-01-29,45.73,46.36,46.47,45.23,7720000.0,-0.0216,ATVI
2019-01-30,46.31,46.18,46.32,45.5,8680000.0,0.0127,ATVI
2019-01-31,47.24,46.46,47.49,45.98,10060000.0,0.020099999999999996,ATVI
2019-02-01,46.01,47.19,47.49,45.51,16660000.0,-0.026000000000000002,ATVI
2019-02-04,46.78,46.32,47.03,46.07,10630000.0,0.0167,ATVI
2019-02-05,47.84,46.93,48.09,46.61,8670000.0,0.0227,ATVI
2019-02-06,43.0,45.0,45.0,42.53,34620000.0,-0.1012,ATVI
2019-02-07,43.96,43.21,44.33,43.05,17460000.0,0.0223,ATVI
2019-02-08,43.41,43.78,43.93,42.88,19280000.0,-0.0125,ATVI
2019-02-11,40.11,43.8,43.8,39.85,44930000.0,-0.076,ATVI
